,Phylum,Order,Family,Genus,Species,Sampling Location,Habitat,Publication,Accession,checkm_completeness,checkm_contamination,bact71_completeness,bact71_contamination,Genome size,# scaffolds
ASM1105476v1,Methylomirabilota,Rokubacteriales,GWA2-73-35,DSHD01,DSHD01 sp011058515,"South Atlantic Ocean, Southern Mid-Atlantic Ridge",hydrothermal sediment,Zhou2020,GCA_011054765.1,70.69,0.69,82.43,1.35,3600831,181
ASM1105851v1,Methylomirabilota,Rokubacteriales,GWA2-73-35,DSHD01,DSHD01 sp011058515,"South Atlantic Ocean, Southern Mid-Atlantic Ridge",hydrothermal sediment,Zhou2020,GCA_011058515.1,84.48,0.69,90.54,1.35,3917037,17
ASM1133141v1,Methylomirabilota,Rokubacteriales,GWA2-73-35,DSRV01,DSRV01 sp011331415,"South Atlantic Ocean, Southern Mid-Atlantic Ridge",hydrothermal sediment,Zhou2020,GCA_011331415.1,86.99,0.69,94.59,2.70,4301875,119
ASM178847v1,Methylomirabilota,Rokubacteriales,GWA2-73-35,GWA2-73-35,GWA2-73-35 sp001788495,"USA: Colorado, Rifle",groundwater,Anantharaman2016,GCA_001788475.1,75.86,0.69,77.03,4.05,3622992,301
ASM179034v1,Methylomirabilota,Rokubacteriales,GWA2-73-35,GWA2-73-35,GWA2-73-35 sp001788495,"USA: Colorado, Rifle",groundwater,Anantharaman2016,GCA_001790345.1,88.21,0.85,83.78,4.05,4042889,215
ASM349942v1,Methylomirabilota,Rokubacteriales,GWA2-73-35,GWA2-73-35,GWA2-73-35 sp001790205,-,groundwater,Parks2018,GCA_003499425.1,86.39,0.16,86.49,2.70,4506982,300
ASM1620629v1,Methylomirabilota,Rokubacteriales,GWA2-73-35,GWA2-73-35,GWA2-73-35 sp001790315,"USA: California, Modesto",groundwater,He2021,GCA_016206295.1,72.41,3.10,79.73,2.70,3437746,193
ASM179033v1,Methylomirabilota,Rokubacteriales,GWA2-73-35,GWA2-73-35,GWA2-73-35 sp001790315,"USA: Colorado, Rifle",groundwater,Anantharaman2016,GCA_001790335.1,84.48,4.14,85.14,0.00,3444169,327
ASM1618800v1,Methylomirabilota,Rokubacteriales,GWA2-73-35,UBA12499,,"USA: California, Modesto",groundwater,He2021,GCA_016188005.1,89.97,0.69,93.24,4.05,5369290,140
ASM1619248v1,Methylomirabilota,Rokubacteriales,GWA2-73-35,UBA12499,,"USA: California, Modesto",groundwater,He2021,GCA_016192485.1,88.74,2.41,93.24,2.70,5200735,571
ASM1618430v1,Methylomirabilota,Rokubacteriales,GWA2-73-35,UBA12499,UBA12499 sp001788395,"USA: California, Modesto",groundwater,He2021,GCA_016184305.1,82.76,0.00,86.49,1.35,3215253,239
ASM178839v1,Methylomirabilota,Rokubacteriales,GWA2-73-35,UBA12499,UBA12499 sp001788395,"USA: Colorado, Rifle",groundwater,Anantharaman2016,GCA_001788395.1,89.66,0.69,91.89,2.70,4655090,243
ASM178842v1,Methylomirabilota,Rokubacteriales,GWA2-73-35,UBA12499,UBA12499 sp001788395,"USA: Colorado, Rifle",groundwater,Anantharaman2016,GCA_001788425.1,78.45,1.72,77.03,1.35,3323756,240
ASM179023v1,Methylomirabilota,Rokubacteriales,GWA2-73-35,UBA12499,UBA12499 sp001788395,"USA: Colorado, Rifle",groundwater,Anantharaman2016,GCA_001790235.1,76.80,0.69,77.03,2.70,2941128,266
ASM178841v1,Methylomirabilota,Rokubacteriales,GWA2-73-35,UBA12499,UBA12499 sp001788415,"USA: Colorado, Rifle",groundwater,Anantharaman2016,GCA_001788415.1,79.31,0.69,87.84,2.70,4703206,309
NSPZN2,Nitrospirota,Nitrospirales,Nitrospiraceae,Nitrospira_A,,,,,GCF_905220995.1,95.69,0.86,97.30,4.05,4840206,22
ASM19681v1,Nitrospirota,Nitrospirales,Nitrospiraceae,Nitrospira_A,Nitrospira_A defluvii_A,,,,GCF_000196815.1,97.41,0.00,98.65,0.00,4317083,1
NSNDContig,Nitrospirota,Nitrospirales,Nitrospiraceae,Nitrospira_A,Nitrospira_A sp900170025,,,,GCF_900170025.1,97.41,0.00,97.30,0.00,4454928,6
NSJPCh1,Nitrospirota,Nitrospirales,Nitrospiraceae,Nitrospira_C,Nitrospira_C japonica,,,,GCF_900169565.1,97.41,0.00,97.30,4.05,4084817,1
ASM1140551v1,Nitrospirota,Nitrospirales,Nitrospiraceae,Nitrospira_C,Nitrospira_C sp011405515,,,,GCF_011405515.1,97.41,0.00,97.30,4.05,4509223,1
NTLENBS10,Nitrospirota,Nitrospirales,Nitrospiraceae,Nitrospira_D,Nitrospira_D lenta,,,,GCF_900403705.1,97.41,0.00,97.30,1.35,3756190,22
ASM127377v1,Nitrospirota,Nitrospirales,Nitrospiraceae,Nitrospira_E,Nitrospira_E moscoviensis,,,,GCF_001273775.1,97.41,0.86,98.65,1.35,4589485,1
COMA2,Nitrospirota,Nitrospirales,Nitrospiraceae,Nitrospira_F,Nitrospira_F nitrificans,,,,GCF_001458775.1,97.41,0.00,97.30,2.70,4117083,36
COMA1,Nitrospirota,Nitrospirales,Nitrospiraceae,Nitrospira_F,Nitrospira_F nitrosa,,,,GCF_001458735.1,97.41,0.00,97.30,1.35,4422398,15
NitroSGbin1b,Nitrospirota,Nitrospirales,Nitrospiraceae,Nitrospira_F,Nitrospira_F sp002083365,,,,GCF_900078535.1,97.41,1.72,94.59,4.05,4415371,48
NitroSGbin1a,Nitrospirota,Nitrospirales,Nitrospiraceae,Nitrospira_F,Nitrospira_F sp002083405,,,,GCF_900078535.2,97.41,1.72,97.30,2.70,3659024,63
NitroHNbin3,Nitrospirota,Nitrospirales,Nitrospiraceae,Nitrospira_F,Nitrospira_F sp900696515,,,,GCF_900078515.1,86.76,1.88,86.49,0.00,2909829,357
ASM1218442v1,Nitrospirota,SBBL01,SCUR01,Manganitrophus,Manganitrophus noduliformans,,,,GCF_012184425.1,97.41,0.00,95.95,2.70,5171380,22
ASM154125v1,Nitrospirota,Thermodesulfovibrionales,Magnetobacteriaceae,HCH-1,HCH-1 sp001541255,,,,GCF_001541255.1,96.55,0.00,97.30,1.35,3593273,152
CMagneto,Nitrospirota,Thermodesulfovibrionales,Magnetobacteriaceae,Magnetobacterium,Magnetobacterium casensis,,,,GCF_000714715.1,94.83,0.00,95.95,4.05,3415676,70
ASM151453v1,Nitrospirota,Thermodesulfovibrionales,Thermodesulfovibrionaceae,Thermodesulfovibrio,Thermodesulfovibrio aggregans,,,,GCF_001514535.1,98.28,0.00,95.95,1.35,1997652,3
ASM170791v1,Nitrospirota,Thermodesulfovibrionales,Thermodesulfovibrionaceae,Thermodesulfovibrio,Thermodesulfovibrio sp001707915,,,,GCF_001707915.1,96.39,0.00,97.30,4.05,1915222,116
ASM42386v1,Nitrospirota,Thermodesulfovibrionales,Thermodesulfovibrionaceae,Thermodesulfovibrio,Thermodesulfovibrio thiophilus,,,,GCF_000423865.1,97.41,0.00,95.95,1.35,1871474,18
ASM2098v1,Nitrospirota,Thermodesulfovibrionales,Thermodesulfovibrionaceae,Thermodesulfovibrio,Thermodesulfovibrio yellowstonii,,,,GCF_000020985.1,98.28,1.72,97.30,4.05,2003803,1
ASM48282v1,Nitrospirota,Thermodesulfovibrionales,Thermodesulfovibrionaceae,Thermodesulfovibrio,Thermodesulfovibrio yellowstonii,,,,GCF_000482825.1,98.28,0.00,95.95,0.00,2048874,20
ASM653844v1,Nitrospirota,Thermodesulfovibrionales,Thermodesulfovibrionaceae,Thermodesulfovibrio,Thermodesulfovibrio yellowstonii,,,,GCF_006538445.1,98.28,0.00,97.30,0.00,1932479,11
NitroNbg4,Nitrospirota,Thermodesulfovibrionales,UBA6898,Sulfobium,Sulfobium mesophilum,,,,GCF_900302705.1,74.14,3.45,79.73,2.70,2770094,151
ASM1470123v1,Nitrospirota,Thermodesulfovibrionales,UBA9935,UBA665,,,,,GCF_014701235.1,98.28,1.72,93.24,1.35,2370875,1
ASM28431v1,Nitrospirota_A,Leptospirillales,Leptospirillaceae,Leptospirillum,Leptospirillum ferrooxidans,,,,GCF_000284315.1,99.14,0.00,97.30,1.35,2559538,1
ASM75550v1,Nitrospirota_A,Leptospirillales,Leptospirillaceae,Leptospirillum_A,Leptospirillum_A ferriphilum,,,,GCF_000755505.1,94.72,0.00,87.84,0.00,2405882,18
LFTSHGAP31,Nitrospirota_A,Leptospirillales,Leptospirillaceae,Leptospirillum_A,Leptospirillum_A ferriphilum,,,,GCF_900198525.1,94.72,0.00,87.84,0.00,2610531,2
ASM118640v1,Nitrospirota_A,Leptospirillales,Leptospirillaceae,Leptospirillum_A,Leptospirillum_A rubarum,,,,GCF_001186405.1,96.29,0.00,86.49,0.00,2709324,1
ASM128054v1,Nitrospirota_A,Leptospirillales,Leptospirillaceae,Leptospirillum_A,Leptospirillum_A rubarum,,,,GCF_001280545.1,94.72,0.00,86.49,0.00,2475669,74
ASM200250v1,Nitrospirota_A,Leptospirillales,Leptospirillaceae,Leptospirillum_A,Leptospirillum_A rubarum,,,,GCF_002002505.1,96.29,0.00,85.14,0.00,2361102,30
ASM200266v1,Nitrospirota_A,Leptospirillales,Leptospirillaceae,Leptospirillum_A,Leptospirillum_A rubarum,,,,GCF_002002665.1,94.25,0.00,79.73,0.00,2340676,104
ASM29923v1,Nitrospirota_A,Leptospirillales,Leptospirillaceae,Leptospirillum_A,Leptospirillum_A rubarum,,,,GCF_000299235.1,96.44,0.00,87.84,0.00,2406157,1
ASM69597v1,Nitrospirota_A,Leptospirillales,Leptospirillaceae,Leptospirillum_A,Leptospirillum_A rubarum,,,,GCF_000695975.1,96.44,0.00,87.84,0.00,2330585,1
LspirillC75,Nitrospirota_A,Leptospirillales,Leptospirillaceae,Leptospirillum_A,Leptospirillum_A rubarum,,,,GCF_000262365.1,94.72,0.00,86.49,0.00,2605306,86
